category,date,contents,title
모두의공원,2019-03-22,허브는 컨트롤이 안되서 iptime꺼 구매해서 외부접속 세팅했는데 유플에서 주는 허브는 기능이 잘되네요. WAKE ON LAN 도 잘됩니다. 오래 써온 iptime공유기는 빼버렸습니다.,<span><b>인터넷</b> <b>sk</b> 쓰다 유플오니 좋네요. : 클리앙</span>
모두의공원,2019-03-21,"100사이로 계속 나오네요 하... 100넘을 때도있고ㅠ , 검색할때 느껴지는 수준... 또 KT는 다운로드...안하긴 하는데 뭔가 손해보는는 느낌이네여. ,로 가야하는건지 흠... 일단 사은품 반납하고 개통...",<span>LG 로 <b>인터넷</b> 바꿨는데 ping 구데기에 비대칭까지 ㅜㅜ : 클리앙</span>
모두의공원,2019-03-20,"가려고 알아보니 관리비에 , 포함이고 티비도 포함해서 2만원이라네요.. ISP는 , -_-.... 야이.... 300세대짜리가 ,이 독점이라니 충격이네요. 오피스텔 탈을 쓴 원룸도 아니고.... 아직 , 약정 2...",<span>요즘 오피스텔(수백세대짜리)는 <b>인터넷</b> 독점인데도 있나보네요. : 클리앙</span>
모두의공원,2019-03-20," 쓰는데요~ 꽤 몇달 전부터 ,이 실내에서 잘 안되는 느낌을 받았어요 이제는 엘지페이는 실내에서 민폐에 가깝게 서버 응답이 늦어요.. 갈아타야하는지 제 기계만 그런건지 ㅠ",<span>g7 실내에서 잘 안되는데.. 저만 이상한건지 : 클리앙</span>
모두의공원,2019-03-19,"에는 11번가 합류 계륵 같은 상황이라서 다른 컨소시엄이 나올 것 같지는 않고. 키움증권 + 하나금융 + ,텔레콤(+11번가) 토스 + 신한금융 + 기타벤처(카페24,직방,무신사등..) 2곳은 뽑을테니... 둘다 되겠군요...",<span>신규<b>인터넷</b>은행은 토스은행 과 키움은행K로 정리되나보네요. : 클리앙</span>
모두의공원,2019-03-18,"브로드 밴드 ,을 가입 했는데 황당한 일을 당했다. 기가 , 라이트를 가입했는데.. 가입 설명 시 비대칭형 상품이라는 고지 없이 가입진행을 해서.. 설치시에 ""비대칭 형이네요?"" 라고 하니.. 설치...",<span>와... <b>SK</b>브로드밴드 한 번 써볼려다가.. 엄청 열받네요... : 클리앙</span>
모두의공원,2019-03-18,"IPTV를 PC로 보는법 가이드 보고 따라하다가 갑자기 ,이 끊기더니 외부 IP를 못받아오네요... , 공유기 몇번을 껏다 켜봐도 IP 받지를 못하네요.",<span>망했네요... : 클리앙</span>
모두의공원,2019-03-15,"모바일 , 이용자 2,000명을 대상으로 조사한 결과에 따르면 정보 검색을 위해 유튜브를 이용한다는 응답자가 60%에 달했다. 여전히 네이버(92.4%ㆍ복수응답) 이용률이 높지만, 과거 네이버에 집중돼 있던...","<span>검색은 유튜브, 콘텐츠는 넷플릭스…영상 시장 장악하는 외국기업들. GISA : 클리앙</span>"
모두의공원,2018-11-27,"접근하는 데 전혀 어려움이 없었다. 혜화타워는 KT, ,텔레콤, LG유플러스 등 국내 통신사들을 오가는 데이터를 적재적소에 분산시키고, 국내와 해외 ,을 연결시켜 주는 허브 역할을 한다. 강홍렬 정보통신...",<span>[단독]KT 핵심시설 돌아다니고 경보음 울렸는데도 아무런 대응 없어 : 클리앙</span>
모두의공원,2018-11-26,"저는 ,꺼 100m 광랜, iptv 결합으로 31,900원 나옵니다. 앞자리 과장님은 kt 500m 기가,인데 tv결합으로 2만원대 나온다네요...ㅠㅠ 호구인가 싶어요.... 약정은 아직 1년이나 남았는데...ㅠㅠ",<span>다들 댁의 iptv+<b>인터넷</b> 요금이 얼마인가요? : 클리앙</span>
모두의공원,2018-11-26,"원래 계획대로라면 , 쓰는 핸드폰 약정 종료후 번이로 KT로 바꾼 뒤 원래 KT쓰는 마눌님과 집 ,, TV 그리고 제것까지 싹다 묶어서 조금이라도 할인을 받는건데... ... 마눌님이 보조금 때문에 번이로 ,...","<span>핸드폰은 <b>SK</b>, <b>인터넷</b>/TV는 KT.... 합칠수가 없습니다. : 클리앙</span>"
모두의공원,2019-03-15,에 skt vip면 모스트에서 긴급출동 무료로 이용할수 있다고 되어있어서 삼성화재 긴급출동 해지했었는데 오늘 배터리때문에 부를려고 보니 사용불가네요.. 저같은일 겪지 마시라고 정보공유드립니다. 참고...,<span><b>sk</b> vip 긴급출동 무료는 루머네요. : 클리앙</span>
모두의공원,2019-03-14,"올해 하반기 회복될 것이라는 분석을 내놨다. 그는 현재 D램 가격 하락세에 대해 ""2018년 상반기 , 기업의 다소 과도한 부품 구매로 인한 높은 재고가 가장 큰 요인""이라며 "", 기업이 멜트다운·스펙터...",<span>CPU 공급부족에 D램값 폭락?...인텔만 바라보는 삼성전자·<b>SK</b>하이닉스. GISA : 클리앙</span>
모두의공원,2019-03-14,"2018.1.26. , 몰, 홈페이지 <다이슨 제품> PM0.1 크기의 유해한 초미세먼지까지 99.95% 정화됩니다. 공기 중의 유해가스와 PM0.1 크기의 미세한 오염물질까지 99.95% 스스로 제거합니다. 붙임 2 2개 사업자...",<span>[공정거래위원회] 2개 공기청정기 제조·판매사업자의 부당한 표시·광고 행위 제재 : 클리앙</span>
모두의공원,2019-03-07,"종사자로 일하면서 제폰 제가 다 개통하고 집 ,도 제가 청약넣어서 개통하고 그랬는데도 항상 전화...유플인데도 KT이용고객님 혜택 드린다고 오고 ,이용고객님이 될때도 있고 그냥 막던집니다. 후후나...",<span>그냥 스팸전화는 무작위에요 : 클리앙</span>
모두의공원,2019-02-12,"차단 기능을 고도화 하였다. *KT, LG유플러스, ,브로드밴드, 삼성SDS, KINX, 세종텔레콤, 드림라인 다만...방식의 기술특성상 이용자가 차단된 불법 ,사이트 접속을 시도할 때, 해당 사이트의 화면은...",<span>방통위 해명 보도 올라왔네요 : 클리앙</span>
모두의공원,2018-11-26,"줘 ,에 접속할 수 있었다는 사연을 올렸다. A씨는 트위터에 자신의 거주지에서 잡히는 와이파이를 캡처한 사진을 올리며 ‘서대문구 화재 때문에 저 작업 아무것도 못 해서 다른 동네 가서 작업할까...",<span>‘아 제발 KT 살려줘’ 긴급 요청에 와이파이 비밀번호 풀어준 이웃 : 클리앙</span>
모두의공원,2018-11-25,"TV 등도 기본 내장 되어 있습니다 5. IPTV 신청 아직 IPTV는 신청하지 않은 상태입니다. 현재 , 온가족 무료로 , 1회선을 무료로 사용중인데, IPTV만 단독 추가시 ,브로드밴드는 월 12,100 KT 올레는...",<span>직구 TV 구입 개인적 경험 공유 : 클리앙</span>
