category,date,contents,title
모두의공원,2018-09-01,KT 약정이 끝나서 SKB로 옮겼습니다 기가라이트인데... PC에 들어오는 기가라이트와 무선 및 유선을 쓸 수 있는 TV 회선이 서로 다른 대역으로 설정되어 있네요.... 모든 대역이 기가라이트 인줄 알았더니 PC용...,<span>SK<b>브로드</b><b>밴드</b> 와이파이...</span>
모두의공원,2018-08-29,오랫동안 진행중인데요. 사장이 개막장인듯 해요.,<span>광화문 쪽 sk <b>브로드</b><b>밴드</b> 비정규직 투쟁 ing</span>
모두의공원,2018-08-27,"ac1900이고 iptime은 a2004ns 어쩌고였나...) 그래서 본가 거실에 iptime n804r 설치 했는데.. , 100메가인터넷에서 60정도는 뽑아주네요. 아부지,어머니 쓰시기에 전혀 무리없습니다. 여튼..라이트하게...",<span>그냥 라이트하게 쓸꺼면 iptime 도 나쁘지는 않은거 같습니다.</span>
모두의공원,2018-08-26,인터넷 연결이 끊겼다 붙었다 수시로 그래서 오버워치 경쟁전 폭망했네요.... 혹시 sk 기가 인터넷 이상하신분 있으신가요? 인터넷이 문제인지 공유기나 랜카드가 문제인지 알수가 없어요,<span>어제 오늘 sk <b>브로드</b><b>밴드</b> 인터넷 이상하신분 있으신지요?</span>
모두의공원,2018-08-23,"아직도 SK, U플러스망으로 들어가면 페이스북 엄청 느리네요. 한 2년전에 그룹이나 소규모 페이지 관리하려고 들어가면 이상하게 피크시간 오후 7시 ~새벽 1시까지 엄청 느린겁니다. 클량에서 동일문제...",<span>우리나라에서 페이스북 이용률이 급감한데엔 속도가 느려진 탓도 있을것같습니다. : 클리앙</span>
모두의공원,2018-08-15,"100Mbps, SK, 광랜을 쓰는데 공유기로는 50~60정도만 나와서 그러려니 하고 살았습니다만, 공유기를 바꾸니 이 속도가 나오네요. 충격받았습니다. 이런 차이가 진짜 나오다니; 클리앙에서 asus tm-ac...",<span>왜 ASUS 공유기 하는지 알게 되네요</span>
모두의공원,2019-02-12,"새로운 기술방식을 협의하고, 관련 시스템의 차단 기능을 고도화 하였다. *KT, LG유플러스, SK,, 삼성SDS, KINX, 세종텔레콤, 드림라인 다만, 새로운 차단방식의 기술특성상 이용자가 차단된 불법...","<span>방통위 보도자료 -방통위, 불법정보를 유통하는 해외 인터넷사이트 차단 강화로 피해- : 클리앙</span>"
모두의공원,2019-02-08,"제가 부모님 집에 들어오면서 인터넷이 문제가 되었습니다. 기존에 쓰시던건 SK , 100Mbps거든요. KT 500으로 가려고 했는데(오래된 아파트라 1기가는 안들어옵니다), 이걸 안바꾸시겠다고...",<span>인터넷 교체 딜...실패했네요. ㅠㅠ SKB 500으로... : 클리앙</span>
모두의공원,2019-02-08,"망을 증설할 계획이다. 국가 간 데이터 접속을 돕는 국제해저케이블의 용량을 증설한다는 얘기다. SK,도 지난달 25일 넷플릭스 트래픽 급증을 해결하기 위해 넷플릭스용 해외 망 용량을 2배로 늘렸다...","<span>‘넷플릭스 ‘킹덤’ 열풍에… LGU+ 미소, KTㆍSKB 울상. GISA : 클리앙</span>"
모두의공원,2019-02-07,"대역폭 증설 진행 예정이지만 일정은 추후 변경될 수 있다”고 안내했다. 앞서 같은 문제를 겪은 SK,는 지난달 25일 넷플릭스용 해외망 용량을 50Gbps에서 100Gbps로 2배 증설했다. 애플리케이션(앱...",<span>넷플릭스 시청자 폭증…통신사 해외망 증설. GISA : 클리앙</span>
